# 601 snapshots, linear scaling in scale factor
# times assume cosmology from AGORA
# i scale_factor redshift time[Gyr] time_width[Myr]
571 0.9681529  0.0328947 13.351040  22.615092
572 0.9697452  0.0311987 13.373634  22.594212
573 0.9713376  0.0295082 13.396208  22.573314
574 0.9729299  0.0278232 13.418760  22.552397
575 0.9745223  0.0261438 13.441292  22.531460
576 0.9761146  0.0244698 13.463802  22.510505
577 0.9777070  0.0228013 13.486292  22.489531
578 0.9792994  0.0211382 13.508760  22.468538
579 0.9808917  0.0194805 13.531208  22.447527
580 0.9824841  0.0178282 13.553634  22.426496
581 0.9840764  0.0161812 13.576040  22.405447
582 0.9856688  0.0145396 13.598424  22.384379
583 0.9872611  0.0129032 13.620787  22.363293
584 0.9888535  0.0112721 13.643130  22.342188
585 0.9904459  0.0096463 13.665451  22.321064
586 0.9920382  0.0080257 13.687751  22.299923
587 0.9936306  0.0064103 13.710029  22.278763
588 0.9952229  0.0048000 13.732287  22.257585
589 0.9968153  0.0031949 13.754523  22.236388
590 0.9984076  0.0015949 13.776738  22.215174
591 0.9985669  0.0014352 13.778959   2.220350
592 0.9987261  0.0012755 13.781179   2.220138
593 0.9988854  0.0011159 13.783399   2.219925
594 0.9990446  0.0009563 13.785619   2.219713
595 0.9992038  0.0007968 13.787838   2.219501
596 0.9993631  0.0006373 13.790057   2.219288
597 0.9995223  0.0004779 13.792276   2.219076
598 0.9996815  0.0003186 13.794495   2.218863
599 0.9998408  0.0001593 13.796714   2.218651
600 1.0000000  0.0000000 13.798932   2.218438
